Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,-0.06,0.012,0.013,-0.007,0.052,0.027,0.306,-0.001,-0.007,0.004,0.004,0.008,-0.013,0.019,0.021,0.011,-0.013,-0.005
,-0.055,0.01,0.014,-0.009,0.029,0.034,0.289,-0.001,-0.003,0,0,0.013,-0.007,0.02,0.051,0.007,-0.007,-0.004
,-0.05,0.005,0.014,-0.011,0.013,0.04,0.264,0,0.003,-0.002,-0.003,0.018,0.001,0.015,0.071,0.001,0.001,-0.003
,-0.043,0.001,0.013,-0.011,0.004,0.045,0.23,0,0.009,-0.002,-0.006,0.02,0.009,0.003,0.083,-0.004,0.009,-0.003
,-0.032,-0.003,0.012,-0.012,0,0.051,0.186,0,0.013,-0.001,-0.012,0.02,0.015,-0.014,0.09,-0.008,0.015,-0.004
,-0.018,-0.005,0.012,-0.013,-0.003,0.058,0.134,-0.001,0.014,-0.001,-0.025,0.017,0.02,-0.031,0.096,-0.01,0.02,-0.005
,-0.007,-0.005,0.013,-0.013,-0.007,0.066,0.08,-0.001,0.012,-0.001,-0.041,0.013,0.021,-0.048,0.103,-0.011,0.021,-0.006
,-0.006,-0.004,0.014,-0.013,-0.011,0.073,0.036,0,0.007,-0.002,-0.059,0.011,0.021,-0.064,0.11,-0.012,0.021,-0.006
,-0.018,-0.003,0.014,-0.013,-0.015,0.079,0.012,0.002,0,-0.003,-0.072,0.011,0.021,-0.081,0.113,-0.013,0.021,-0.006
,-0.039,-0.002,0.014,-0.013,-0.018,0.083,0.013,0.005,-0.004,-0.003,-0.078,0.013,0.022,-0.1,0.113,-0.015,0.022,-0.006
,-0.056,-0.001,0.014,-0.014,-0.019,0.085,0.035,0.006,-0.004,-0.002,-0.078,0.015,0.024,-0.12,0.11,-0.018,0.024,-0.006
,-0.062,-0.001,0.013,-0.016,-0.02,0.086,0.068,0.004,-0.001,-0.001,-0.074,0.016,0.028,-0.139,0.107,-0.019,0.028,-0.007
,-0.057,-0.001,0.012,-0.017,-0.024,0.085,0.099,0,0.003,0,-0.07,0.015,0.033,-0.152,0.104,-0.018,0.033,-0.008
,-0.049,0,0.012,-0.018,-0.032,0.083,0.122,-0.004,0.007,0,-0.068,0.014,0.038,-0.154,0.101,-0.015,0.038,-0.009
,-0.05,0.002,0.01,-0.018,-0.043,0.079,0.138,-0.007,0.008,0,-0.068,0.012,0.041,-0.143,0.097,-0.013,0.041,-0.01
,-0.061,0.004,0.007,-0.016,-0.054,0.071,0.152,-0.008,0.006,-0.001,-0.067,0.01,0.044,-0.12,0.091,-0.013,0.044,-0.011
,-0.077,0.005,0.003,-0.015,-0.064,0.063,0.172,-0.006,0.002,-0.002,-0.066,0.007,0.045,-0.09,0.084,-0.014,0.045,-0.012
,-0.086,0.005,-0.001,-0.014,-0.069,0.053,0.195,-0.003,-0.004,-0.002,-0.065,0.003,0.048,-0.061,0.079,-0.016,0.048,-0.012
,-0.081,0.003,-0.005,-0.016,-0.07,0.043,0.216,-0.003,-0.008,-0.001,-0.065,-0.003,0.05,-0.038,0.077,-0.017,0.05,-0.011
,-0.063,0,-0.007,-0.019,-0.064,0.033,0.226,-0.004,-0.01,0,-0.067,-0.009,0.052,-0.024,0.077,-0.016,0.052,-0.008
,-0.037,-0.002,-0.008,-0.021,-0.053,0.024,0.219,-0.005,-0.01,-0.001,-0.068,-0.014,0.051,-0.017,0.078,-0.013,0.051,-0.004
,-0.011,-0.003,-0.009,-0.021,-0.039,0.015,0.197,-0.006,-0.008,-0.003,-0.067,-0.018,0.047,-0.014,0.077,-0.008,0.047,0.004
,0.016,-0.003,-0.012,-0.017,-0.026,0.007,0.168,-0.004,-0.004,-0.006,-0.063,-0.02,0.042,-0.012,0.073,-0.003,0.042,0.014
,0.044,-0.001,-0.015,-0.009,-0.016,-0.001,0.14,-0.001,-0.001,-0.008,-0.055,-0.021,0.039,-0.012,0.067,0.002,0.039,0.026
