id,N_peaks,env_peak1_pos,env_peak2_pos,env_peak3_pos,env_peak1_val,env_peak2_val,env_peak3_val,peak1_pos,peak2_pos,peak3_pos,peak1_val,peak2_val,peak3_val,duration,silent_phase,silent_rateo,atrial_ventricular_ratio,atrial_ventricular_time_ratio,third_major_ratio,third_second_ratio,n_peaks_duration_rateo,class
6,3,0.31646,0.48894,0.17199,0.10151,0.036604,0.0038311,0.32138,0.486,0.17101,0.146,0.045,0.006,0.31744,0.03145,0.099071,0.13333,0.35187,0.041096,0.13333,9.4505,MAP_A
6,3,0.46536,0.32383,0.18182,0.030013,0.028297,0.0047706,0.47174,0.32039,0.18231,0.043,0.043,0.008,0.28403,0.025061,0.088235,0.18605,0.38646,0.18605,0.18605,10.5623,MAP_A
6,3,0.31744,0.49091,0.20147,0.089419,0.033515,0.0041294,0.32236,0.49337,0.17445,0.128,0.044,0.007,0.28993,0.015725,0.054237,0.15909,0.35359,0.054688,0.15909,10.3475,MAP_A
6,3,0.31695,0.49042,0.22457,0.047827,0.030219,0.0042732,0.32236,0.48845,0.20197,0.078,0.042,0.006,0.26634,0.015725,0.059041,0.14286,0.41348,0.076923,0.14286,11.2638,MAP_A
6,2,0.31695,0.49042,,0.038239,0.028631,,0.32088,0.48845,,0.064,0.033,,0.17396,0.007371,0.042373,1.9394,0.65694,,,11.4972,MAP_A
6,3,0.31695,0.48943,0.21327,0.072318,0.034812,0.0049678,0.32187,0.4914,0.21278,0.111,0.046,0.009,0.27666,0.025553,0.092362,0.19565,0.433,0.081081,0.19565,10.8437,MAP_A
6,2,0.27961,0.48256,,0.064696,0.06154,,0.48501,0.27076,,0.111,0.065,,0.20344,0.010811,0.05314,0.58559,0.55826,,,9.8309,MAP_A
6,2,0.28206,0.48649,,0.11066,0.074448,,0.27764,0.486,,0.136,0.125,,0.20491,0.019165,0.093525,1.088,0.57128,,,9.7602,MAP_A
6,2,0.28157,0.47961,,0.072054,0.056083,,0.48501,0.27568,,0.1,0.086,,0.19853,0.022604,0.11386,0.86,0.56839,,,10.0743,MAP_A
6,3,0.28452,0.48501,0.19263,0.13316,0.075983,0.0050357,0.27862,0.486,0.18673,0.132,0.131,0.011,0.29287,0.047174,0.16107,0.083969,0.38423,0.083333,0.083969,10.2433,MAP_A
6,2,0.29975,0.48501,,0.096719,0.059721,,0.30221,0.48501,,0.134,0.106,,0.18575,0.019656,0.10582,1.2642,0.6231,,,10.7672,MAP_A
6,3,0.29435,0.48894,0.20737,0.23768,0.064732,0.0045772,0.30025,0.4855,0.19263,0.286,0.125,0.008,0.28206,0.041278,0.14634,0.064,0.39676,0.027972,0.064,10.6359,MAP_A
6,1,0.29287,,,0.52185,,,0.29779,,,0.491,,,0.0004914,0.0004914,1,,,,,2035,MAP_A
6,2,0.47715,0.30319,,0.22272,0.089607,,0.48305,0.27764,,0.282,0.071,,0.17445,0.01769,0.10141,0.25177,0.57477,,,11.4648,MAP_A
6,2,0.4688,0.30418,,0.4396,0.049042,,0.47322,0.29926,,0.583,0.084,,0.16511,0.054545,0.33036,0.14408,0.6324,,,12.1131,MAP_A
6,3,0.46732,0.29828,0.21081,0.41508,0.033402,0.0063355,0.47076,0.30172,0.21671,0.57,0.056,0.009,0.257,0.045209,0.17591,0.015789,0.46033,0.015789,0.16071,11.673,MAP_A
6,3,0.4683,0.31155,0.17592,0.28089,0.062994,0.0057273,0.47224,0.30614,0.18084,0.39,0.083,0.012,0.29287,0.048157,0.16443,0.030769,0.38293,0.030769,0.14458,10.2433,MAP_A
6,2,0.46732,0.31106,,0.31624,0.036343,,0.47027,0.30467,,0.446,0.045,,0.15676,0.042752,0.27273,0.1009,0.64786,,,12.7586,MAP_A
6,2,0.46732,0.30811,,0.36853,0.031254,,0.46978,0.30319,,0.535,0.05,,0.15971,0.028993,0.18154,0.093458,0.6454,,,12.5231,MAP_A
6,2,0.4683,0.31253,,0.29965,0.043987,,0.47174,0.30663,,0.419,0.059,,0.15627,0.036364,0.2327,0.14081,0.65,,,12.7987,MAP_A
6,2,0.4688,0.31351,,0.29472,0.044137,,0.47174,0.3086,,0.421,0.056,,0.15577,0.030958,0.19874,0.13302,0.65417,,,12.8391,MAP_A
6,3,0.46732,0.31057,0.21523,0.33987,0.026089,0.005447,0.47027,0.30418,0.2172,0.497,0.037,0.008,0.25258,0.043735,0.17315,0.016097,0.46186,0.016097,0.21622,11.8774,MAP_A
6,3,0.46781,0.31204,0.18084,0.26814,0.064835,0.0047606,0.47174,0.30565,0.18771,0.377,0.085,0.011,0.28747,0.038329,0.13333,0.029178,0.39792,0.029178,0.12941,10.4359,MAP_A
