Var1,Var2,Var3
rov trace:,NaN,NaN
,-0.01,-0.006
,-0.006,-0.002
,-0.001,0.004
,0.002,0.009
,0.001,0.011
,-0.003,0.007
,-0.007,0.001
,-0.01,-0.005
,-0.01,-0.008
,-0.007,-0.008
,-0.005,-0.006
,-0.003,-0.004
,-0.003,-0.003
,-0.005,-0.003
,-0.007,-0.004
,-0.008,-0.005
,-0.009,-0.005
,-0.01,-0.005
,-0.011,-0.002
,-0.012,0.003
,-0.015,0.008
,-0.017,0.012
,-0.019,0.013
,-0.02,0.011
,-0.019,0.006
,-0.018,0.001
,-0.017,-0.001
,-0.016,0.001
,-0.017,0.005
,-0.017,0.009
,-0.018,0.01
,-0.019,0.008
,-0.021,0.005
,-0.025,0.004
,-0.03,0.007
,-0.035,0.015
,-0.04,0.025
,-0.044,0.037
,-0.049,0.048
,-0.055,0.058
,-0.064,0.068
,-0.072,0.077
,-0.077,0.088
,-0.072,0.1
,-0.054,0.118
,-0.015,0.142
,0.052,0.172
,0.152,0.203
,0.283,0.225
,0.423,0.23
,0.54,0.214
,0.595,0.178
,0.558,0.129
,0.431,0.073
,0.247,0.013
,0.061,-0.054
,-0.073,-0.134
,-0.127,-0.235
,-0.115,-0.361
,-0.078,-0.504
,-0.061,-0.639
,-0.082,-0.726
,-0.132,-0.728
,-0.18,-0.631
,-0.204,-0.457
,-0.196,-0.257
,-0.172,-0.086
,-0.15,0.02
,-0.141,0.065
,-0.143,0.074
,-0.145,0.079
,-0.14,0.098
,-0.124,0.125
,-0.104,0.148
,-0.086,0.155
,-0.076,0.146
,-0.07,0.131
,-0.066,0.122
,-0.06,0.123
,-0.05,0.131
,-0.039,0.139
,-0.029,0.142
,-0.022,0.138
,-0.017,0.13
,-0.013,0.121
,-0.009,0.114
,-0.006,0.109
,-0.003,0.103
,-0.003,0.096
,-0.004,0.086
,-0.005,0.074
,-0.004,0.061
,-0.001,0.05
,0.004,0.043
,0.01,0.038
,0.017,0.037
,0.022,0.035
,0.025,0.031
,0.025,0.026
,0.023,0.02
,0.02,0.015
,0.017,0.013
,0.017,0.013
,0.018,0.015
