Var1,Var2,Var3
rov trace:,NaN,NaN
,0.038,-0.001
,0.031,0.001
,0.02,0.003
,0.009,0.005
,0.001,0.007
,-0.002,0.008
,0,0.01
,0.004,0.014
,0.008,0.019
,0.011,0.024
,0.01,0.026
,0.008,0.024
,0.005,0.019
,0.005,0.01
,0.008,0.001
,0.014,-0.007
,0.019,-0.016
,0.023,-0.024
,0.023,-0.032
,0.018,-0.04
,0.01,-0.045
,0,-0.046
,-0.012,-0.041
,-0.024,-0.029
,-0.034,-0.012
,-0.039,0.006
,-0.04,0.022
,-0.035,0.03
,-0.027,0.028
,-0.015,0.014
,0,-0.007
,0.017,-0.024
,0.034,-0.025
,0.046,-0.008
,0.05,0.022
,0.044,0.048
,0.033,0.055
,0.025,0.04
,0.025,0.014
,0.031,-0.008
,0.037,-0.012
,0.035,0
,0.024,0.016
,0.007,0.023
,-0.005,0.012
,-0.008,-0.012
,-0.004,-0.037
,-0.003,-0.051
,-0.01,-0.052
,-0.028,-0.044
,-0.049,-0.033
,-0.066,-0.026
,-0.073,-0.022
,-0.071,-0.018
,-0.067,-0.012
,-0.065,-0.001
,-0.066,0.012
,-0.068,0.025
,-0.067,0.034
,-0.06,0.04
,-0.045,0.043
,-0.028,0.044
,-0.011,0.044
,0.001,0.044
,0.009,0.044
,0.014,0.045
,0.019,0.044
,0.027,0.044
,0.037,0.042
,0.047,0.041
,0.054,0.041
,0.056,0.04
,0.054,0.039
,0.05,0.035
,0.047,0.028
,0.047,0.021
,0.05,0.015
,0.05,0.012
,0.046,0.013
,0.037,0.015
,0.027,0.015
,0.02,0.011
,0.018,0.005
,0.022,0.001
,0.028,0
,0.032,0.004
,0.032,0.01
,0.029,0.013
,0.024,0.012
,0.019,0.008
,0.014,0.004
,0.012,0.001
,0.011,0
,0.012,0
,0.013,0.001
,0.013,0
,0.011,0
,0.009,0.001
,0.006,0.003
,0.005,0.007
,0.005,0.011
,0.006,0.013
,0.008,0.013
,0.009,0.012
,0.009,0.008
,0.008,0
,0.007,-0.011
,0.006,-0.024
,0.005,-0.036
,0.004,-0.043
,0.002,-0.043
,-0.001,-0.037
,-0.006,-0.028
,-0.013,-0.018
,-0.02,-0.008
,-0.029,0.003
,-0.038,0.016
,-0.045,0.028
,-0.048,0.034
,-0.045,0.028
,-0.034,0.003
,-0.017,-0.04
,0.002,-0.102
,0.019,-0.176
,0.029,-0.253
,0.03,-0.316
,0.023,-0.35
,0.008,-0.341
,-0.016,-0.292
,-0.048,-0.217
,-0.093,-0.138
,-0.146,-0.074
,-0.2,-0.033
,-0.239,-0.009
,-0.251,0.01
,-0.231,0.031
,-0.185,0.055
,-0.131,0.077
,-0.082,0.09
,-0.049,0.094
,-0.03,0.091
,-0.016,0.087
,-0.001,0.086
,0.018,0.088
,0.037,0.091
,0.054,0.092
,0.064,0.093
,0.069,0.093
,0.073,0.095
,0.078,0.096
,0.082,0.096
,0.083,0.094
,0.08,0.09
,0.074,0.084
,0.067,0.076
,0.062,0.065
,0.06,0.054
,0.058,0.045
,0.056,0.039
,0.053,0.037
,0.047,0.036
,0.041,0.035
,0.035,0.031
,0.03,0.026
,0.028,0.02
,0.027,0.016
,0.026,0.013
,0.025,0.013
,0.023,0.014
,0.021,0.015
,0.02,0.013
,0.019,0.008
,0.021,0.001
,0.024,-0.008
,0.027,-0.015
,0.027,-0.019
,0.025,-0.022
,0.018,-0.026
,0.009,-0.034
,-0.001,-0.044
,-0.008,-0.053
,-0.01,-0.055
,-0.009,-0.046
,-0.006,-0.027
,-0.003,-0.004
,-0.001,0.015
,-0.001,0.023
,-0.001,0.021
,-0.003,0.012
,-0.005,0.002
,-0.007,-0.005
,-0.009,-0.009
,-0.01,-0.011
,-0.012,-0.013
,-0.014,-0.015
,-0.016,-0.015
,-0.018,-0.014
,-0.019,-0.01
,-0.02,-0.006
,-0.019,-0.003
,-0.018,-0.001
,-0.016,-0.001
,-0.014,0
,-0.012,0
,-0.01,0
,-0.007,0.001
,-0.006,0
,-0.005,-0.001
,-0.006,-0.001
,-0.005,0
,-0.004,0.001
,-0.001,0.002
,0.003,0.003
,0.007,0.003
,0.01,0.002
,0.011,-0.001
,0.01,-0.005
,0.009,-0.008
,0.007,-0.011
,0.006,-0.011
,0.005,-0.01
,0.006,-0.008
,0.006,-0.006
,0.006,-0.006
,0.005,-0.007
,0.004,-0.008
,0.003,-0.009
,0.003,-0.01
,0.002,-0.009
,0,-0.007
,-0.002,-0.004
,-0.004,0
,-0.004,0.004
,-0.003,0.006
,-0.003,0.007
,-0.005,0.007
,-0.007,0.006
,-0.008,0.005
,-0.007,0.003
,-0.005,0
,-0.002,-0.004
,-0.002,-0.008
,-0.005,-0.011
,-0.009,-0.012
,-0.012,-0.011
,-0.013,-0.007
,-0.01,0
,-0.007,0.009
,-0.005,0.017
,-0.004,0.023
,-0.004,0.025
,-0.002,0.023
,0.003,0.019
,0.01,0.015
,0.016,0.013
,0.017,0.014
,0.014,0.016
,0.008,0.018
,0.005,0.018
,0.005,0.017
,0.009,0.015
,0.013,0.013
,0.015,0.009
,0.013,0.006
,0.008,0.003
,0.003,0.002
,0.001,0.004
,0.001,0.008
,0.003,0.014
,0.004,0.018
,0.004,0.02
,0.001,0.018
,-0.002,0.015
,-0.003,0.012
,-0.003,0.01
,-0.002,0.007
,0.001,0.001
,0.002,-0.009
,0.004,-0.022
,0.005,-0.034
,0.005,-0.042
,0.005,-0.045
,0.002,-0.041
,-0.003,-0.033
,-0.009,-0.02
,-0.014,-0.001
,-0.016,0.026
,-0.014,0.06
,-0.008,0.09
,-0.002,0.103
,0.002,0.087
,0.002,0.046
,0.001,-0.005
,-0.002,-0.044
,-0.002,-0.059
,-0.002,-0.052
,0,-0.039
,0.002,-0.032
,0.002,-0.039
,0.002,-0.055
,0.001,-0.069
,0,-0.074
,-0.001,-0.066
,-0.003,-0.052
,-0.004,-0.037
,-0.004,-0.028
,-0.003,-0.026
,-0.001,-0.029
,0.001,-0.033
,0.003,-0.034
,0.005,-0.03
,0.005,-0.022
,0.005,-0.011
,0.002,-0.002
,-0.002,0.006
,-0.006,0.009
,-0.009,0.01
,-0.01,0.01
,-0.009,0.011
,-0.006,0.014
,-0.003,0.019
,-0.002,0.024
,-0.004,0.027
,-0.006,0.026
,-0.008,0.022
,-0.009,0.017
,-0.008,0.013
,-0.007,0.011
,-0.007,0.011
,-0.008,0.012
,-0.009,0.013
,-0.009,0.013
,-0.009,0.014
,-0.009,0.015
,-0.009,0.015
,-0.009,0.013
,-0.009,0.009
,-0.008,0.005
,-0.006,0.004
,-0.002,0.006
,0.001,0.01
,0.003,0.014
,0.003,0.016
,0.002,0.015
,0,0.013
,-0.002,0.012
,-0.004,0.012
,-0.005,0.014
,-0.004,0.014
,-0.002,0.012
,0,0.008
,0.001,0.002
,0.002,-0.004
,0.002,-0.008
,0.003,-0.011
,0.004,-0.012
,0.004,-0.011
,0.003,-0.009
,0.001,-0.008
,-0.003,-0.009
,-0.006,-0.012
,-0.006,-0.015
,-0.004,-0.017
,0,-0.017
,0.004,-0.013
,0.005,-0.008
,0.005,-0.003
,0.003,0.002
,0.002,0.005
,0.003,0.007
,0.005,0.011
,0.008,0.016
,0.01,0.023
,0.012,0.027
,0.012,0.026
,0.013,0.018
,0.015,0.007
,0.019,-0.006
,0.023,-0.014
,0.026,-0.016
,0.026,-0.013
,0.024,-0.008
,0.018,-0.005
,0.012,-0.007
,0.007,-0.011
,0.003,-0.017
,-0.001,-0.02
,-0.004,-0.021
,-0.007,-0.02
,-0.009,-0.018
,-0.009,-0.017
,-0.007,-0.016
,-0.005,-0.015
,-0.002,-0.014
,-0.001,-0.014
,0.001,-0.015
,0.002,-0.017
,0.002,-0.018
,0.003,-0.018
,0.002,-0.017
,-0.001,-0.016
,-0.004,-0.015
,-0.008,-0.012
,-0.011,-0.008
,-0.013,-0.001
,-0.014,0.006
,-0.013,0.013
,-0.011,0.015
,-0.008,0.014
,-0.006,0.012
,-0.006,0.009
,-0.006,0.009
,-0.005,0.009
,-0.003,0.009
,0.001,0.008
,0.005,0.006
,0.008,0.007
,0.008,0.01
,0.005,0.016
,0,0.022
,-0.003,0.025
,-0.004,0.025
,-0.002,0.023
,0,0.021
,0.002,0.018
,0.002,0.016
,0.001,0.013
,-0.001,0.01
,-0.002,0.006
,-0.001,0.004
,0.002,0.004
,0.006,0.005
,0.011,0.005
,0.015,0.004
,0.017,0
,0.014,-0.004
,0.009,-0.008
,0.003,-0.009
,-0.004,-0.008
,-0.01,-0.007
,-0.014,-0.006
,-0.016,-0.007
,-0.017,-0.009
,-0.016,-0.011
,-0.014,-0.011
,-0.01,-0.009
,-0.007,-0.005
,-0.005,-0.001
,-0.004,0.001
,-0.004,0.001
,-0.005,-0.001
,-0.005,-0.004
,-0.005,-0.005
,-0.004,-0.003
,-0.004,0.001
,-0.002,0.006
,0.001,0.011
,0.005,0.013
,0.009,0.012
,0.012,0.009
,0.011,0.004
,0.009,0
,0.007,-0.001
,0.005,-0.001
,0.005,0.001
,0.006,0.003
,0.008,0.005
,0.01,0.005
,0.01,0.003
,0.009,0.001
,0.006,-0.002
,0.002,-0.004
,-0.002,-0.006
,-0.006,-0.009
,-0.008,-0.012
,-0.009,-0.014
,-0.007,-0.016
,-0.006,-0.015
,-0.004,-0.013
,-0.003,-0.008
,-0.002,-0.003
,-0.001,0.001
,0,0.004
,0.001,0.007
,0.001,0.009
,0.001,0.011
,0.001,0.013
,0.001,0.015
,-0.001,0.018
,-0.005,0.022
,-0.009,0.026
,-0.012,0.032
,-0.012,0.038
,-0.009,0.042
,-0.004,0.043
,0.001,0.036
,0.005,0.021
,0.007,0.002
,0.008,-0.015
,0.008,-0.027
,0.009,-0.029
,0.01,-0.026
,0.009,-0.021
,0.008,-0.019
,0.005,-0.022
,0.001,-0.029
,-0.002,-0.037
,-0.004,-0.045
,-0.005,-0.05
,-0.003,-0.052
,0.001,-0.048
,0.005,-0.037
,0.007,-0.021
,0.008,-0.002
,0.005,0.015
,0.001,0.026
,-0.004,0.028
,-0.006,0.023
,-0.006,0.013
,-0.004,0.004
,-0.001,-0.003
,0,-0.006
,0,-0.006
,-0.002,-0.006
,-0.002,-0.005
,-0.001,-0.003
,0,0
,0,0.005
,-0.002,0.011
,-0.005,0.016
,-0.008,0.018
,-0.008,0.019
,-0.006,0.02
,-0.002,0.022
,0.003,0.027
,0.005,0.033
,0.006,0.037
,0.006,0.037
,0.006,0.033
,0.006,0.025
,0.007,0.017
,0.008,0.01
,0.007,0.005
,0.005,0.003
,0.003,0.002
,0.001,0.001
,0.001,-0.001
,0.003,-0.005
,0.005,-0.01
,0.006,-0.014
,0.004,-0.017
,0.001,-0.016
,-0.003,-0.014
,-0.005,-0.011
,-0.004,-0.01
,-0.002,-0.011
,-0.001,-0.011
,-0.003,-0.012
,-0.006,-0.011
,-0.009,-0.011
,-0.011,-0.011
,-0.009,-0.013
,-0.005,-0.014
,-0.001,-0.015
,0.001,-0.015
,0.001,-0.013
,-0.001,-0.011
,-0.003,-0.008
,-0.003,-0.004
,-0.001,0.001
,0.002,0.005
,0.003,0.009
,0.001,0.009
,-0.002,0.007
,-0.004,0.003
,-0.005,0
,-0.003,-0.001
,0,0.001
,0.003,0.001
,0.004,-0.001
,0.004,-0.006
,0.004,-0.014
,0.003,-0.02
,0.004,-0.021
,0.005,-0.017
,0.006,-0.008
,0.006,0.002
,0.005,0.01
,0.003,0.015
,0.001,0.017
,-0.001,0.016
,-0.001,0.014
,0,0.013
,0,0.012
,0,0.013
,-0.002,0.013
,-0.004,0.011
,-0.005,0.007
,-0.003,0.003
,0,0.001
,0.004,0.002
,0.005,0.007
,0.004,0.012
,0.002,0.014
,0,0.011
ref trace:,NaN,NaN
,-0.001,-0.012
,-0.003,-0.011
,-0.002,-0.01
,-0.001,-0.009
,0,-0.009
,0.001,-0.009
,0,-0.009
,-0.001,-0.008
,-0.003,-0.006
,-0.003,-0.006
,-0.002,-0.006
,0,-0.006
,0.001,-0.006
,0.001,-0.005
,-0.001,-0.003
,-0.003,-0.003
,-0.004,-0.002
,-0.003,-0.003
,-0.002,-0.004
,-0.002,-0.006
,-0.003,-0.007
,-0.004,-0.008
,-0.004,-0.008
,-0.003,-0.006
,-0.001,-0.002
,0.001,0.001
,0.002,0.004
,0.002,0.003
,0,0.001
,-0.001,-0.001
,-0.001,-0.001
,0,0.002
,0.001,0.006
,0.002,0.008
,0.002,0.007
,0.003,0.003
,0.003,-0.003
,0.003,-0.006
,0.003,-0.006
,0.002,-0.003
,0.001,0.001
,0.001,0.003
,0.003,0.004
,0.004,0.002
,0.005,0.001
,0.005,0.001
,0.003,0.002
,0.001,0.002
,0,0.001
,0,0
,0,-0.002
,0,-0.003
,-0.001,-0.002
,-0.002,-0.001
,-0.003,0
,-0.003,-0.001
,-0.002,-0.002
,-0.001,-0.003
,-0.002,-0.003
,-0.004,0
,-0.006,0.003
,-0.007,0.005
,-0.005,0.003
,-0.001,0
,0.002,-0.004
,0.003,-0.006
,0.001,-0.005
,-0.001,-0.003
,-0.003,0
,-0.003,0
,-0.001,0
,0.001,-0.002
,0.003,-0.004
,0.003,-0.005
,0.002,-0.006
,0,-0.006
,-0.001,-0.005
,-0.002,-0.003
,-0.002,-0.001
,-0.001,0.001
,-0.001,0.003
,-0.001,0.003
,-0.001,0.001
,-0.001,-0.001
,-0.002,-0.003
,-0.002,-0.003
,-0.002,-0.001
,-0.002,0.001
,-0.001,0
,0.001,-0.002
,0.002,-0.006
,0.002,-0.008
,0.002,-0.007
,0.003,-0.005
,0.002,-0.002
,0.001,-0.001
,0,-0.002
,-0.002,-0.003
,-0.003,-0.003
,-0.001,-0.002
,0,0
,0.001,0.001
,0,0
,-0.002,-0.001
,-0.005,-0.002
,-0.006,-0.001
,-0.006,0
,-0.004,0.002
,-0.001,0.003
,0,0.003
,0.001,0.002
,0.002,0.002
,0.002,0.003
,0.001,0.004
,-0.001,0.006
,-0.003,0.005
,-0.005,0.003
,-0.006,-0.001
,-0.005,-0.003
,-0.002,-0.004
,0.001,-0.003
,0.003,-0.001
,0.004,0
,0.003,0
,0.001,-0.002
,0,-0.004
,0,-0.006
,-0.001,-0.006
,-0.001,-0.005
,-0.002,-0.004
,-0.002,-0.003
,0,-0.002
,0.002,0
,0.004,0
,0.004,0
,0.002,-0.001
,-0.001,-0.002
,-0.003,-0.002
,-0.004,-0.001
,-0.003,0
,-0.001,0.001
,0,0.002
,0.001,0.003
,0.002,0.004
,0.002,0.005
,0.002,0.006
,0.002,0.006
,0.001,0.005
,0.001,0.003
,0,0
,-0.001,-0.002
,-0.001,-0.003
,0,-0.003
,0.001,-0.001
,0.002,0.001
,0.002,0.004
,0.002,0.007
,0.001,0.008
,0,0.006
,0,0.003
,0,0
,0,0
,0,0.002
,0,0.005
,0,0.006
,0,0.004
,0,0.001
,0,-0.002
,0.001,-0.003
,0.002,-0.001
,0.003,0.002
,0.002,0.004
,0.001,0.003
,0,-0.001
,0,-0.005
,0.001,-0.006
,0.003,-0.004
,0.005,0
,0.006,0.005
,0.005,0.006
,0.002,0.005
,0,0.001
,-0.001,-0.003
,-0.002,-0.005
,-0.003,-0.005
,-0.004,-0.004
,-0.005,-0.003
,-0.004,-0.002
,-0.002,-0.001
,0.002,0
,0.004,0.001
,0.004,0.001
,0.001,0
,-0.003,-0.001
,-0.007,-0.001
,-0.008,0
,-0.006,0.001
,-0.002,0.001
,0.002,0
,0.005,-0.002
,0.005,-0.004
,0.004,-0.004
,0.002,-0.002
,0,0.001
,-0.002,0.004
,-0.004,0.004
,-0.005,0.001
,-0.005,-0.003
,-0.004,-0.006
,-0.004,-0.007
,-0.004,-0.005
,-0.004,-0.002
,-0.004,-0.001
,-0.004,-0.001
,-0.002,-0.002
,-0.001,-0.002
,0,0.001
,0.001,0.004
,0.001,0.006
,0,0.006
,0,0.005
,-0.001,0.002
,-0.001,0
,0,-0.001
,0.001,0
,0.002,0.002
,0.003,0.003
,0.003,0.004
,0.002,0.003
,0.001,0.002
,0,0
,-0.001,-0.001
,-0.003,-0.001
,-0.003,0.001
,-0.003,0.003
,-0.001,0.005
,0.002,0.005
,0.005,0.002
,0.007,-0.001
,0.008,-0.003
,0.006,-0.004
,0.002,-0.003
,-0.003,-0.003
,-0.01,-0.002
,-0.015,-0.002
,-0.02,-0.001
,-0.023,0
,-0.024,0.001
,-0.022,0.002
,-0.019,0.002
,-0.014,0.002
,-0.009,0.001
,-0.005,0
,-0.001,0
,0.001,0.001
,0.003,0.002
,0.003,0.004
,0.004,0.005
,0.004,0.006
,0.005,0.006
,0.006,0.005
,0.009,0.003
,0.01,0.001
,0.011,0.001
,0.011,0.001
,0.01,0.003
,0.009,0.004
,0.008,0.005
,0.007,0.005
,0.006,0.004
,0.004,0.003
,0.003,0.002
,0.001,0.002
,0.001,0.002
,0.001,0.002
,0.002,0.002
,0.002,0.003
,0.002,0.003
,0.001,0.004
,0.001,0.005
,0.001,0.006
,0.001,0.007
,0.003,0.006
,0.004,0.004
,0.006,0.002
,0.007,-0.001
,0.007,-0.003
,0.007,-0.004
,0.005,-0.004
,0.002,-0.004
,-0.001,-0.004
,-0.003,-0.004
,-0.004,-0.004
,-0.003,-0.004
,-0.001,-0.003
,0,-0.002
,0,-0.001
,0,-0.001
,-0.002,-0.002
,-0.004,-0.003
,-0.005,-0.003
,-0.006,-0.004
,-0.005,-0.005
,-0.005,-0.005
,-0.004,-0.004
,-0.004,-0.003
,-0.003,-0.002
,-0.001,0
,0,0.001
,0.001,0.003
,0,0.004
,0,0.005
,0,0.005
,0,0.004
,0,0.003
,-0.001,0.001
,-0.003,-0.001
,-0.004,-0.003
,-0.005,-0.004
,-0.003,-0.003
,0,0
,0.003,0.003
,0.004,0.005
,0.004,0.006
,0.002,0.006
,0.003,0.004
,0.004,0.003
,0.007,0.002
,0.008,0.001
,0.005,0.001
,0.001,0.001
,-0.003,0.001
,-0.005,0
,-0.003,-0.001
,0,-0.002
,0.004,-0.002
,0.005,-0.002
,0.003,-0.003
,-0.001,-0.004
,-0.003,-0.004
,-0.004,-0.004
,-0.002,-0.003
,0.001,0
,0.003,0.003
,0.002,0.005
,0,0.006
,-0.003,0.005
,-0.006,0.003
,-0.006,-0.001
,-0.005,-0.004
,-0.003,-0.005
,-0.001,-0.004
,0,0
,-0.001,0.004
,-0.002,0.007
,-0.004,0.008
,-0.005,0.006
,-0.005,0.003
,-0.004,0.001
,-0.003,0
,-0.002,0
,-0.002,0
,-0.001,-0.001
,0.001,-0.002
,0.003,-0.004
,0.005,-0.005
,0.006,-0.004
,0.005,-0.002
,0.003,0
,0.001,0.001
,-0.001,0
,-0.003,-0.002
,-0.004,-0.003
,-0.006,-0.003
,-0.007,-0.002
,-0.007,-0.001
,-0.004,0
,0,0
,0.004,-0.001
,0.005,-0.002
,0.005,-0.003
,0.003,-0.003
,0,-0.003
,0,-0.002
,0,-0.001
,0.001,-0.002
,0.001,-0.003
,-0.001,-0.003
,-0.004,-0.003
,-0.006,-0.001
,-0.007,0.001
,-0.007,0.003
,-0.005,0.004
,-0.002,0.004
,0.001,0.002
,0.003,0.001
,0.005,0
,0.005,0
,0.004,0.001
,0.003,0.002
,0.001,0.002
,-0.001,0
,-0.002,-0.001
,-0.003,-0.002
,-0.003,-0.002
,-0.001,-0.002
,0.002,-0.002
,0.003,-0.002
,0.004,-0.002
,0.004,-0.001
,0.004,0.001
,0.005,0.002
,0.006,0.003
,0.006,0.001
,0.004,-0.001
,0.002,-0.003
,0,-0.004
,-0.001,-0.002
,-0.001,0.001
,0,0.004
,0.001,0.005
,0.001,0.004
,0.002,0.003
,0.002,0.002
,0.001,0.002
,-0.001,0.002
,-0.004,0.002
,-0.006,0.001
,-0.007,-0.001
,-0.005,-0.001
,-0.003,0
,0,0.003
,0.001,0.005
,0.001,0.006
,0,0.006
,-0.001,0.004
,-0.001,0.002
,-0.001,0
,-0.001,0
,-0.003,0
,-0.004,0.001
,-0.005,0.001
,-0.004,0.001
,-0.002,0
,0,-0.001
,0.001,-0.002
,0.001,-0.003
,0.001,-0.003
,0.001,-0.002
,0.003,0
,0.006,0.003
,0.008,0.005
,0.008,0.005
,0.005,0.004
,0,0.002
,-0.004,0.001
,-0.005,0.001
,-0.005,0.002
,-0.003,0.004
,0,0.005
,0.002,0.004
,0.003,0.002
,0.003,0
,0.002,-0.002
,0,-0.004
,-0.001,-0.004
,0,-0.004
,0.001,-0.005
,0.003,-0.005
,0.003,-0.007
,0.001,-0.008
,-0.002,-0.009
,-0.005,-0.01
,-0.006,-0.01
,-0.004,-0.01
,-0.002,-0.009
,0,-0.007
,0.001,-0.007
,0,-0.008
,0,-0.008
,0,-0.009
,0,-0.008
,-0.001,-0.006
,-0.001,-0.005
,0,-0.004
,0.001,-0.004
,0.003,-0.003
,0.005,-0.002
,0.004,0
,0.002,0.001
,-0.001,0.002
,-0.004,0.002
,-0.005,0.001
,-0.004,0
,0,-0.001
,0.003,-0.002
,0.004,-0.002
,0.003,-0.002
,0.001,-0.001
,-0.001,0
,-0.001,0.001
,0.001,0.001
,0.004,0
,0.005,-0.001
,0.003,-0.002
,0.001,-0.002
,-0.001,-0.001
,-0.003,0.001
,-0.004,0.003
,-0.005,0.004
,-0.004,0.005
,-0.003,0.004
,-0.002,0.002
,0.001,0.001
,0.005,0.001
,0.007,0.002
,0.009,0.004
,0.008,0.006
,0.005,0.006
,0.001,0.005
,-0.001,0.003
,-0.001,0.001
,0,0.002
,0.001,0.004
,0.001,0.007
,-0.001,0.009
,-0.003,0.01
,-0.004,0.008
,-0.003,0.005
,-0.001,0.002
,0.002,0
,0.003,-0.002
,0.003,-0.003
,0.001,-0.003
,0,-0.002
,0,0
,0.001,0.002
,0.003,0.003
,0.004,0.003
,0.004,0.003
,0.003,0.003
,0.002,0.003
,0,0.004
,-0.001,0.004
,-0.003,0.003
,-0.004,0.001
,-0.004,0
,-0.002,-0.001
,0.001,-0.001
,0.004,-0.001
,0.007,0
,0.006,0.002
,0.004,0.003
,0.001,0.004
,0,0.004
,0.001,0.004
,0.002,0.003
,0.003,0.002
,0.003,0.001
,0.001,0.001
,-0.001,0
,-0.002,-0.001
,-0.002,-0.003
,-0.003,-0.004
,-0.004,-0.004
,-0.004,-0.003
,-0.003,0
,-0.001,0.002
,0.001,0.004
,0.004,0.004
,0.005,0.003
,0.005,0.002
,0.004,0.001
,0.002,0
,0.001,0
,0.001,0
,0.001,0
,0.001,-0.001
,0,-0.002
,-0.002,-0.002
,-0.004,-0.001
,-0.004,0
,-0.002,0.001
,0.001,0.002
,0.003,0.002
,0.003,0.001
,0.001,0
,-0.001,-0.001
,-0.003,-0.001
,-0.003,0
,-0.002,0.002
,0,0.003
,0.001,0.004
,0.002,0.004
,0.002,0.002
,0.001,0
,-0.001,-0.002
,-0.003,-0.002
,-0.004,0
,-0.004,0.002
,-0.004,0.004
,-0.003,0.004
,-0.001,0.002
,0.001,-0.001
,0.004,-0.002
,0.007,-0.001
,0.008,0.002
,0.007,0.005
,0.005,0.006
,0.003,0.005
,0,0.003
,-0.002,0.001
,-0.002,0
,-0.001,0.001
,0,0.001
,0,0.001
,0,0
,-0.001,-0.001
,-0.002,-0.002
,-0.002,-0.002
,-0.001,-0.002
,0,-0.002
,0.001,-0.002
,0.001,-0.002
,0.001,-0.001
,0.002,0.002
,0.002,0.004
,0.002,0.005
,0.002,0.003
,0,0.001
,-0.001,-0.002
,-0.002,-0.002
,-0.002,-0.002
,-0.002,0
,-0.004,0
,-0.005,0
,-0.005,0
,-0.003,0
,-0.001,0
,0.001,0
,0.001,0.001
,0,0.002
,-0.001,0.004
,-0.001,0.005
,0.001,0.005
,0.003,0.004
,0.004,0.002
,0.003,0
,0.001,-0.001
,-0.001,-0.001
,-0.001,0.001
,-0.001,0.002
,0,0.002
,0,0.003
,0,0.003
,-0.001,0.003
,0,0.003
,0.001,0
,0.004,-0.002
,0.005,-0.005
,0.005,-0.005
,0.003,-0.004
,0,-0.002
,-0.004,0
,-0.005,0
,-0.003,0
,0,-0.001
,0.003,-0.002
,0.003,-0.002
,0.001,0
,-0.002,0.003
,-0.004,0.004
,-0.002,0.005
,0.001,0.004
,0.005,0.002
,0.006,0
,0.003,-0.001
,-0.001,-0.001
,-0.005,-0.001
,-0.006,-0.001
,-0.003,-0.002
,0,-0.002
,0.002,-0.001
,0.002,0
,-0.001,0.002
,-0.002,0.003
,-0.002,0.004
,0,0.005
,0.002,0.004
,0.003,0.003
,0.002,0.001
,-0.001,-0.001
,-0.004,-0.002
,-0.004,-0.003
,-0.003,-0.005
,-0.001,-0.006
,0.001,-0.007
,0.002,-0.007
,0.002,-0.006
,0.001,-0.004
,0.001,-0.001
,0.002,0.001
,0.002,0.001
,0,0
,-0.003,-0.001
,-0.006,-0.001
,-0.008,0
,-0.008,0.002
,-0.006,0.003
,-0.004,0.004
,-0.002,0.002
,-0.001,0
,-0.002,-0.002
,-0.003,-0.002
,-0.002,-0.002
,0.001,-0.001
,0.005,0
,0.009,0
,0.01,0.001
,0.007,0.001
,0.003,0.002
,0,0.003
,0,0.004
,0.002,0.004
,0.004,0.004
,0.005,0.003
,0.003,0.004
,-0.001,0.005
,-0.004,0.007
,-0.006,0.007
,-0.005,0.005
,-0.003,0.002
,-0.002,-0.002
,-0.001,-0.005
,-0.001,-0.006
,0,-0.006
,0.002,-0.004
,0.004,-0.003
,0.006,-0.002
,0.006,-0.003
,0.005,-0.004
,0.003,-0.004
,0.002,-0.003
,0.002,0
,0.002,0.004
,0.001,0.006
,-0.002,0.006
,-0.005,0.004
,-0.006,0.001
,-0.004,-0.001
,0,0
,0.004,0.002
,0.006,0.004
,0.005,0.004
,0.003,0.001
,0,-0.002
,-0.002,-0.005
,-0.002,-0.006
,-0.002,-0.006
,-0.003,-0.003
,-0.004,-0.001
,-0.004,0.001
,-0.003,0.002
,0,0
,0.002,-0.001
,0.002,-0.002
,-0.001,-0.001
,-0.003,0
,-0.005,0.001
,-0.004,0
,-0.002,-0.002
,0,-0.005
,0.001,-0.006
,0,-0.005
,0,-0.002
,0,0
,0.002,0.001
,0.003,0
,0.004,0
,0.004,0.001
,0.003,0.003
,0.001,0.006
,-0.001,0.007
,-0.002,0.006
,-0.003,0.003
,-0.003,0
,-0.003,-0.001
,-0.003,0
,-0.002,0.002
,-0.001,0.003
,0,0.001
,0.002,-0.002
,0.003,-0.006
,0.003,-0.007
,0.003,-0.005
,0.003,-0.002
,0.003,0.001
,0.003,0.003
,0.002,0.003
,0.001,0.003
,0,0.002
,-0.001,0.002
,-0.002,0.002
,-0.003,0.002
,-0.003,0.003
,-0.003,0.004
,-0.002,0.007
,-0.001,0.008
,0,0.008
,0.001,0.004
,0.001,-0.001
,0,-0.007
,0,-0.009
,-0.001,-0.009
,-0.002,-0.006
,-0.003,-0.003
,-0.003,-0.001
,-0.004,-0.001
,-0.004,-0.001
,-0.003,0
,-0.001,0.002
,0.003,0.005
,0.005,0.006
,0.006,0.006
,0.005,0.005
,0.002,0.003
,-0.002,0
,-0.004,-0.002
,-0.004,-0.004
,-0.002,-0.005
,0.001,-0.006
,0.003,-0.004
,0.004,-0.002
,0.003,0
,0.002,0
,0.001,-0.001
,0.001,-0.002
,0,-0.001
,-0.002,0
,-0.004,0.001
,-0.005,0.001
,-0.005,0.001
,-0.004,0.001
,-0.001,0.001
,0.001,0.002
,0.003,0.002
,0.002,0.001
,0.001,-0.001
,0,-0.004
,0,-0.005
,0.001,-0.004
,0.002,-0.003
,0.002,-0.002
,0.003,-0.002
,0.002,-0.003
,0.002,-0.004
,0.001,-0.004
,0.001,-0.002
,0.001,0
,0.002,0.001
,0.002,0.002
,0,0.002
,-0.002,0.003
,-0.005,0.005
