Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.009,-0.005,-0.002,-0.013,-0.005,0.013,0.363,0.009,0.005
,0.007,-0.003,0,-0.011,-0.001,0.013,0.219,0.007,0.007
,0.006,0,0.001,-0.009,0.001,0.013,0.076,0.006,0.008
,0.008,0.001,0.001,-0.007,0.001,0.012,-0.061,0.008,0.009
,0.011,0.001,0,-0.005,-0.001,0.012,-0.187,0.011,0.009
,0.014,-0.001,-0.001,-0.001,-0.001,0.01,-0.294,0.014,0.009
,0.016,-0.003,-0.002,0.003,-0.001,0.008,-0.379,0.016,0.008
,0.015,-0.004,-0.002,0.007,0,0.007,-0.442,0.015,0.007
,0.012,-0.005,-0.003,0.009,0.001,0.005,-0.486,0.012,0.005
,0.008,-0.006,-0.005,0.009,0.003,0.002,-0.517,0.008,0.003
,0.004,-0.008,-0.005,0.009,0.005,-0.002,-0.539,0.004,0.003
,0.002,-0.009,-0.004,0.008,0.008,-0.007,-0.554,0.002,0.005
,0.002,-0.009,-0.002,0.008,0.012,-0.012,-0.561,0.002,0.009
,0.003,-0.008,0,0.01,0.015,-0.015,-0.56,0.003,0.012
,0.003,-0.006,0.002,0.012,0.018,-0.016,-0.551,0.003,0.013
,0.002,-0.006,0.003,0.014,0.019,-0.014,-0.537,0.002,0.013
,0,-0.007,0.004,0.015,0.02,-0.013,-0.52,0,0.011
,-0.004,-0.007,0.004,0.015,0.02,-0.013,-0.501,-0.004,0.01
,-0.008,-0.005,0.004,0.015,0.02,-0.015,-0.48,-0.008,0.01
,-0.011,0,0.005,0.015,0.02,-0.017,-0.457,-0.011,0.01
,-0.013,0.008,0.005,0.015,0.019,-0.017,-0.431,-0.013,0.008
,-0.014,0.014,0.004,0.015,0.018,-0.016,-0.405,-0.014,0.005
,-0.015,0.016,0.003,0.014,0.017,-0.013,-0.378,-0.015,0
,-0.016,0.014,0.001,0.012,0.016,-0.011,-0.353,-0.016,-0.004
,-0.016,0.009,-0.002,0.011,0.015,-0.011,-0.329,-0.016,-0.007
,-0.017,0.005,-0.004,0.009,0.015,-0.012,-0.307,-0.017,-0.01
,-0.015,0.004,-0.005,0.009,0.013,-0.013,-0.287,-0.015,-0.013
,-0.014,0.006,-0.005,0.009,0.01,-0.013,-0.268,-0.014,-0.016
,-0.011,0.009,-0.003,0.007,0.004,-0.01,-0.249,-0.011,-0.018
,-0.009,0.011,0,0.005,-0.003,-0.007,-0.229,-0.009,-0.017
,-0.008,0.011,0.002,0.002,-0.009,-0.004,-0.209,-0.008,-0.014
,-0.006,0.009,0.003,0,-0.015,-0.001,-0.187,-0.006,-0.01
,-0.004,0.007,0.002,-0.002,-0.017,0.002,-0.165,-0.004,-0.006
,-0.001,0.006,-0.001,-0.003,-0.018,0.003,-0.142,-0.001,-0.005
,0,0.006,-0.004,-0.005,-0.017,0.005,-0.12,0,-0.005
,0.001,0.007,-0.006,-0.008,-0.017,0.007,-0.101,0.001,-0.005
,0,0.008,-0.006,-0.011,-0.018,0.009,-0.087,0,-0.004
,-0.001,0.007,-0.004,-0.014,-0.019,0.01,-0.077,-0.001,-0.003
,-0.002,0.005,-0.002,-0.016,-0.019,0.012,-0.069,-0.002,-0.002
,-0.002,0.002,-0.001,-0.016,-0.018,0.014,-0.061,-0.002,-0.001
,0,-0.002,-0.002,-0.016,-0.014,0.016,-0.051,0,-0.001
