Var1,Var2,Var3,Var4
,-0.014,0.018,0.018
,-0.014,0.019,0.019
,-0.014,0.019,0.019
,-0.014,0.02,0.02
,-0.013,0.02,0.02
,-0.013,0.021,0.021
,-0.013,0.022,0.022
,-0.013,0.022,0.022
,-0.012,0.023,0.023
,-0.012,0.023,0.023
,-0.011,0.024,0.024
,-0.011,0.024,0.024
,-0.01,0.025,0.025
,-0.01,0.025,0.025
,-0.009,0.026,0.026
,-0.008,0.026,0.026
,-0.007,0.027,0.027
,-0.007,0.027,0.027
,-0.006,0.027,0.027
,-0.005,0.028,0.028
,-0.004,0.028,0.028
,-0.003,0.029,0.029
,-0.002,0.029,0.029
,-0.001,0.03,0.03
,0,0.03,0.03
,0,0.03,0.03
,0.001,0.031,0.031
,0.002,0.031,0.031
,0.003,0.031,0.031
,0.004,0.032,0.032
,0.005,0.032,0.032
,0.005,0.032,0.032
,0.006,0.033,0.033
,0.006,0.033,0.033
,0.007,0.033,0.033
,0.007,0.034,0.034
,0.008,0.034,0.034
,0.008,0.034,0.034
,0.008,0.035,0.035
,0.008,0.035,0.035
,0.008,0.035,0.035
,0.009,0.035,0.035
,0.009,0.036,0.036
,0.008,0.036,0.036
,0.008,0.036,0.036
,0.008,0.036,0.036
,0.008,0.036,0.036
,0.008,0.037,0.037
,0.008,0.037,0.037
,0.008,0.037,0.037
,0.007,0.037,0.037
,0.007,0.037,0.037
,0.007,0.038,0.038
,0.007,0.038,0.038
,0.007,0.038,0.038
,0.007,0.038,0.038
,0.007,0.039,0.039
,0.007,0.039,0.039
,0.007,0.039,0.039
,0.007,0.04,0.04
,0.007,0.04,0.04
,0.008,0.04,0.04
,0.008,0.04,0.04
,0.008,0.041,0.041
,0.009,0.041,0.041
,0.009,0.041,0.041
,0.01,0.042,0.042
,0.01,0.042,0.042
,0.011,0.042,0.042
,0.011,0.042,0.042
,0.012,0.043,0.043
,0.012,0.043,0.043
,0.013,0.043,0.043
,0.014,0.043,0.043
,0.014,0.043,0.043
,0.015,0.043,0.043
,0.016,0.043,0.043
,0.017,0.043,0.043
,0.017,0.043,0.043
,0.018,0.043,0.043
,0.018,0.043,0.043
,0.019,0.043,0.043
,0.02,0.043,0.043
,0.02,0.043,0.043
,0.021,0.043,0.043
,0.021,0.043,0.043
,0.022,0.043,0.043
,0.022,0.043,0.043
,0.023,0.043,0.043
,0.023,0.043,0.043
,0.023,0.043,0.043
,0.024,0.043,0.043
,0.024,0.044,0.044
,0.025,0.044,0.044
,0.025,0.044,0.044
,0.025,0.044,0.044
,0.026,0.045,0.045
,0.026,0.045,0.045
,0.026,0.045,0.045
,0.027,0.046,0.046
,0.027,0.046,0.046
,0.028,0.047,0.047
,0.028,0.048,0.048
,0.029,0.048,0.048
,0.029,0.049,0.049
,0.03,0.05,0.05
,0.03,0.05,0.05
,0.031,0.051,0.051
,0.032,0.052,0.052
,0.032,0.052,0.052
,0.033,0.053,0.053
,0.033,0.053,0.053
,0.034,0.054,0.054
,0.034,0.054,0.054
,0.035,0.055,0.055
,0.035,0.055,0.055
,0.036,0.055,0.055
,0.036,0.055,0.055
,0.036,0.055,0.055
,0.036,0.055,0.055
,0.036,0.054,0.054
,0.036,0.054,0.054
,0.036,0.053,0.053
,0.036,0.053,0.053
,0.036,0.052,0.052
,0.035,0.051,0.051
,0.035,0.05,0.05
,0.034,0.049,0.049
,0.034,0.048,0.048
,0.033,0.046,0.046
,0.032,0.045,0.045
,0.031,0.044,0.044
,0.031,0.042,0.042
,0.03,0.041,0.041
,0.029,0.04,0.04
,0.028,0.038,0.038
,0.027,0.037,0.037
,0.026,0.036,0.036
,0.025,0.034,0.034
,0.024,0.033,0.033
,0.023,0.032,0.032
,0.022,0.031,0.031
,0.021,0.03,0.03
,0.02,0.029,0.029
,0.02,0.028,0.028
,0.019,0.027,0.027
,0.018,0.026,0.026
,0.017,0.025,0.025
,0.016,0.024,0.024
,0.016,0.023,0.023
,0.015,0.022,0.022
,0.014,0.021,0.021
,0.014,0.021,0.021
,0.013,0.02,0.02
,0.012,0.019,0.019
,0.012,0.019,0.019
,0.011,0.018,0.018
,0.01,0.018,0.018
,0.01,0.017,0.017
,0.009,0.016,0.016
,0.008,0.016,0.016
,0.008,0.016,0.016
,0.007,0.015,0.015
,0.007,0.015,0.015
,0.006,0.015,0.015
,0.006,0.015,0.015
,0.005,0.015,0.015
,0.005,0.015,0.015
,0.005,0.015,0.015
,0.005,0.015,0.015
,0.004,0.015,0.015
,0.004,0.015,0.015
,0.004,0.016,0.016
,0.004,0.016,0.016
,0.004,0.016,0.016
,0.005,0.017,0.017
,0.005,0.018,0.018
,0.005,0.018,0.018
,0.005,0.019,0.019
,0.006,0.02,0.02
,0.006,0.021,0.021
,0.007,0.021,0.021
,0.007,0.022,0.022
,0.008,0.023,0.023
,0.008,0.024,0.024
,0.009,0.025,0.025
,0.009,0.026,0.026
,0.01,0.026,0.026
,0.011,0.027,0.027
,0.011,0.028,0.028
,0.012,0.028,0.028
,0.012,0.029,0.029
,0.013,0.029,0.029
,0.014,0.03,0.03
,0.014,0.03,0.03
,0.015,0.03,0.03
,0.015,0.03,0.03
,0.015,0.03,0.03
,0.016,0.03,0.03
,0.016,0.03,0.03
,0.016,0.029,0.029
,0.016,0.029,0.029
,0.016,0.028,0.028
,0.016,0.027,0.027
,0.016,0.026,0.026
,0.016,0.025,0.025
,0.016,0.024,0.024
,0.015,0.023,0.023
,0.015,0.022,0.022
,0.014,0.021,0.021
,0.013,0.019,0.019
,0.012,0.018,0.018
,0.011,0.016,0.016
,0.01,0.015,0.015
,0.009,0.014,0.014
,0.007,0.012,0.012
,0.006,0.011,0.011
,0.004,0.01,0.01
,0.003,0.008,0.008
,0.001,0.007,0.007
,-0.001,0.006,0.006
,-0.003,0.005,0.005
,-0.004,0.004,0.004
,-0.006,0.003,0.003
,-0.008,0.002,0.002
,-0.01,0.002,0.002
,-0.012,0.001,0.001
,-0.014,0,0
,-0.015,0,0
,-0.017,-0.001,-0.001
,-0.018,-0.001,-0.001
,-0.02,-0.002,-0.002
,-0.021,-0.002,-0.002
,-0.023,-0.003,-0.003
,-0.024,-0.003,-0.003
,-0.025,-0.003,-0.003
,-0.026,-0.004,-0.004
,-0.026,-0.004,-0.004
,-0.027,-0.004,-0.004
,-0.028,-0.004,-0.004
,-0.028,-0.005,-0.005
,-0.028,-0.005,-0.005
,-0.029,-0.005,-0.005
,-0.029,-0.006,-0.006
,-0.029,-0.006,-0.006
,-0.029,-0.006,-0.006
,-0.029,-0.007,-0.007
,-0.029,-0.007,-0.007
,-0.029,-0.007,-0.007
,-0.029,-0.008,-0.008
,-0.028,-0.008,-0.008
,-0.028,-0.008,-0.008
,-0.028,-0.009,-0.009
,-0.028,-0.009,-0.009
,-0.028,-0.009,-0.009
,-0.028,-0.009,-0.009
,-0.027,-0.01,-0.01
,-0.027,-0.01,-0.01
,-0.027,-0.01,-0.01
,-0.027,-0.01,-0.01
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.011,-0.011
,-0.027,-0.01,-0.01
,-0.027,-0.01,-0.01
,-0.027,-0.01,-0.01
,-0.027,-0.009,-0.009
,-0.027,-0.009,-0.009
,-0.027,-0.008,-0.008
,-0.027,-0.007,-0.007
,-0.026,-0.007,-0.007
,-0.026,-0.006,-0.006
,-0.026,-0.005,-0.005
,-0.025,-0.004,-0.004
,-0.025,-0.003,-0.003
,-0.025,-0.001,-0.001
,-0.024,0,0
,-0.024,0.001,0.001
,-0.024,0.003,0.003
,-0.023,0.004,0.004
,-0.023,0.006,0.006
,-0.022,0.007,0.007
,-0.022,0.009,0.009
,-0.021,0.01,0.01
,-0.021,0.012,0.012
,-0.02,0.014,0.014
,-0.02,0.016,0.016
,-0.02,0.017,0.017
,-0.019,0.019,0.019
,-0.019,0.021,0.021
,-0.018,0.023,0.023
,-0.018,0.024,0.024
,-0.018,0.026,0.026
,-0.017,0.028,0.028
,-0.017,0.03,0.03
,-0.017,0.031,0.031
,-0.016,0.033,0.033
,-0.016,0.035,0.035
,-0.016,0.036,0.036
,-0.015,0.038,0.038
,-0.015,0.039,0.039
,-0.015,0.041,0.041
,-0.015,0.042,0.042
,-0.014,0.044,0.044
,-0.014,0.045,0.045
,-0.014,0.046,0.046
,-0.014,0.047,0.047
,-0.013,0.048,0.048
,-0.013,0.049,0.049
,-0.013,0.05,0.05
,-0.013,0.051,0.051
,-0.013,0.052,0.052
,-0.012,0.052,0.052
,-0.012,0.053,0.053
,-0.012,0.053,0.053
,-0.012,0.053,0.053
,-0.012,0.054,0.054
,-0.012,0.054,0.054
,-0.012,0.054,0.054
,-0.013,0.054,0.054
,-0.013,0.054,0.054
,-0.013,0.053,0.053
,-0.013,0.053,0.053
,-0.014,0.053,0.053
,-0.014,0.053,0.053
,-0.014,0.053,0.053
,-0.014,0.053,0.053
,-0.015,0.053,0.053
,-0.015,0.053,0.053
,-0.014,0.054,0.054
,-0.014,0.054,0.054
,-0.013,0.056,0.056
,-0.013,0.057,0.057
,-0.011,0.059,0.059
,-0.009,0.062,0.062
,-0.007,0.065,0.065
,-0.004,0.069,0.069
,-0.001,0.073,0.073
,0.003,0.078,0.078
,0.008,0.084,0.084
,0.013,0.09,0.09
,0.019,0.098,0.098
,0.026,0.106,0.106
,0.034,0.115,0.115
,0.043,0.125,0.125
,0.052,0.136,0.136
,0.062,0.148,0.148
,0.074,0.16,0.16
,0.086,0.174,0.174
,0.099,0.188,0.188
,0.112,0.203,0.203
,0.127,0.219,0.219
,0.142,0.236,0.236
,0.158,0.253,0.253
,0.175,0.272,0.272
,0.192,0.291,0.291
,0.211,0.311,0.311
,0.23,0.331,0.331
,0.249,0.353,0.353
,0.27,0.375,0.375
,0.29,0.397,0.397
,0.312,0.42,0.42
,0.334,0.444,0.444
,0.357,0.469,0.469
,0.38,0.493,0.493
,0.403,0.519,0.519
,0.428,0.544,0.544
,0.452,0.571,0.571
,0.477,0.597,0.597
,0.502,0.623,0.623
,0.527,0.65,0.65
,0.552,0.677,0.677
,0.577,0.703,0.703
,0.602,0.729,0.729
,0.627,0.755,0.755
,0.652,0.781,0.781
,0.675,0.806,0.806
,0.699,0.83,0.83
,0.721,0.853,0.853
,0.743,0.875,0.875
,0.763,0.896,0.896
,0.783,0.915,0.915
,0.8,0.934,0.934
,0.817,0.95,0.95
,0.832,0.965,0.965
,0.845,0.978,0.978
,0.856,0.989,0.989
,0.865,0.999,0.999
,0.872,1.006,1.006
,0.877,1.011,1.011
,0.88,1.014,1.014
,0.881,1.014,1.014
,0.879,1.013,1.013
,0.875,1.009,1.009
,0.869,1.003,1.003
,0.861,0.995,0.995
,0.851,0.985,0.985
,0.838,0.973,0.973
,0.824,0.958,0.958
,0.807,0.942,0.942
,0.789,0.924,0.924
,0.768,0.904,0.904
,0.747,0.883,0.883
,0.723,0.86,0.86
,0.698,0.836,0.836
,0.673,0.811,0.811
,0.646,0.785,0.785
,0.618,0.758,0.758
,0.589,0.73,0.73
,0.56,0.702,0.702
,0.531,0.673,0.673
,0.501,0.645,0.645
,0.472,0.616,0.616
,0.443,0.588,0.588
,0.414,0.56,0.56
,0.385,0.532,0.532
,0.357,0.505,0.505
,0.33,0.479,0.479
,0.304,0.454,0.454
,0.278,0.429,0.429
,0.254,0.406,0.406
,0.231,0.383,0.383
,0.209,0.362,0.362
,0.189,0.342,0.342
,0.169,0.323,0.323
,0.151,0.305,0.305
,0.134,0.288,0.288
,0.118,0.272,0.272
,0.104,0.258,0.258
,0.09,0.244,0.244
,0.078,0.231,0.231
,0.067,0.219,0.219
,0.056,0.208,0.208
,0.047,0.197,0.197
,0.038,0.187,0.187
,0.03,0.177,0.177
,0.022,0.168,0.168
,0.015,0.159,0.159
,0.009,0.15,0.15
,0.003,0.142,0.142
,-0.003,0.134,0.134
,-0.009,0.126,0.126
,-0.015,0.117,0.117
,-0.02,0.109,0.109
,-0.025,0.101,0.101
,-0.031,0.093,0.093
,-0.036,0.084,0.084
,-0.041,0.076,0.076
,-0.047,0.068,0.068
,-0.052,0.059,0.059
,-0.058,0.051,0.051
,-0.063,0.042,0.042
,-0.069,0.034,0.034
,-0.074,0.026,0.026
,-0.08,0.017,0.017
,-0.085,0.009,0.009
,-0.09,0.002,0.002
,-0.095,-0.006,-0.006
,-0.1,-0.013,-0.013
,-0.105,-0.02,-0.02
,-0.109,-0.027,-0.027
,-0.113,-0.033,-0.033
,-0.117,-0.039,-0.039
,-0.12,-0.044,-0.044
,-0.123,-0.049,-0.049
,-0.126,-0.053,-0.053
,-0.128,-0.057,-0.057
,-0.13,-0.061,-0.061
,-0.132,-0.064,-0.064
,-0.133,-0.066,-0.066
,-0.134,-0.069,-0.069
,-0.135,-0.071,-0.071
,-0.135,-0.072,-0.072
,-0.135,-0.073,-0.073
,-0.134,-0.074,-0.074
,-0.133,-0.075,-0.075
,-0.132,-0.076,-0.076
,-0.131,-0.076,-0.076
,-0.13,-0.076,-0.076
,-0.128,-0.076,-0.076
,-0.127,-0.076,-0.076
,-0.125,-0.077,-0.077
,-0.124,-0.077,-0.077
,-0.122,-0.077,-0.077
,-0.12,-0.077,-0.077
,-0.119,-0.077,-0.077
,-0.117,-0.078,-0.078
,-0.115,-0.078,-0.078
,-0.114,-0.079,-0.079
,-0.113,-0.08,-0.08
,-0.112,-0.081,-0.081
,-0.11,-0.082,-0.082
,-0.109,-0.083,-0.083
,-0.109,-0.084,-0.084
,-0.108,-0.086,-0.086
,-0.107,-0.087,-0.087
,-0.107,-0.089,-0.089
,-0.106,-0.09,-0.09
,-0.106,-0.092,-0.092
,-0.106,-0.094,-0.094
,-0.105,-0.095,-0.095
,-0.105,-0.097,-0.097
,-0.105,-0.098,-0.098
,-0.105,-0.1,-0.1
,-0.105,-0.101,-0.101
,-0.104,-0.102,-0.102
,-0.104,-0.103,-0.103
,-0.104,-0.104,-0.104
,-0.104,-0.104,-0.104
,-0.104,-0.105,-0.105
,-0.104,-0.105,-0.105
,-0.103,-0.105,-0.105
,-0.103,-0.105,-0.105
,-0.102,-0.105,-0.105
,-0.102,-0.104,-0.104
,-0.101,-0.103,-0.103
,-0.101,-0.103,-0.103
,-0.1,-0.102,-0.102
,-0.1,-0.101,-0.101
,-0.099,-0.099,-0.099
,-0.098,-0.098,-0.098
,-0.097,-0.097,-0.097
,-0.096,-0.096,-0.096
,-0.095,-0.094,-0.094
,-0.094,-0.093,-0.093
,-0.093,-0.092,-0.092
,-0.092,-0.09,-0.09
,-0.091,-0.089,-0.089
,-0.09,-0.088,-0.088
,-0.089,-0.087,-0.087
,-0.087,-0.086,-0.086
,-0.086,-0.085,-0.085
,-0.085,-0.085,-0.085
,-0.084,-0.084,-0.084
,-0.083,-0.084,-0.084
,-0.082,-0.084,-0.084
,-0.081,-0.084,-0.084
,-0.08,-0.083,-0.083
,-0.079,-0.084,-0.084
,-0.078,-0.084,-0.084
,-0.077,-0.084,-0.084
,-0.076,-0.084,-0.084
,-0.075,-0.085,-0.085
,-0.074,-0.085,-0.085
,-0.073,-0.086,-0.086
,-0.072,-0.086,-0.086
,-0.071,-0.087,-0.087
,-0.07,-0.088,-0.088
,-0.069,-0.088,-0.088
,-0.068,-0.089,-0.089
,-0.066,-0.089,-0.089
,-0.065,-0.089,-0.089
,-0.063,-0.09,-0.09
,-0.061,-0.09,-0.09
,-0.059,-0.09,-0.09
,-0.057,-0.09,-0.09
,-0.055,-0.09,-0.09
,-0.053,-0.09,-0.09
,-0.05,-0.089,-0.089
,-0.048,-0.089,-0.089
,-0.045,-0.089,-0.089
,-0.042,-0.088,-0.088
,-0.039,-0.087,-0.087
,-0.035,-0.087,-0.087
,-0.032,-0.086,-0.086
,-0.028,-0.085,-0.085
,-0.025,-0.084,-0.084
,-0.021,-0.083,-0.083
,-0.017,-0.082,-0.082
,-0.013,-0.081,-0.081
,-0.009,-0.08,-0.08
,-0.005,-0.079,-0.079
,-0.001,-0.078,-0.078
,0.003,-0.078,-0.078
,0.007,-0.077,-0.077
,0.011,-0.076,-0.076
,0.015,-0.075,-0.075
,0.019,-0.074,-0.074
,0.023,-0.074,-0.074
,0.027,-0.073,-0.073
,0.03,-0.073,-0.073
,0.034,-0.072,-0.072
,0.038,-0.072,-0.072
,0.041,-0.072,-0.072
,0.044,-0.072,-0.072
,0.047,-0.072,-0.072
,0.05,-0.072,-0.072
,0.053,-0.072,-0.072
,0.056,-0.072,-0.072
,0.059,-0.072,-0.072
,0.061,-0.072,-0.072
,0.064,-0.072,-0.072
,0.066,-0.072,-0.072
,0.069,-0.073,-0.073
,0.071,-0.073,-0.073
,0.073,-0.073,-0.073
,0.075,-0.073,-0.073
,0.078,-0.074,-0.074
,0.08,-0.074,-0.074
,0.082,-0.074,-0.074
,0.084,-0.074,-0.074
,0.086,-0.074,-0.074
,0.088,-0.074,-0.074
,0.09,-0.074,-0.074
,0.092,-0.073,-0.073
,0.095,-0.073,-0.073
,0.097,-0.073,-0.073
,0.099,-0.072,-0.072
,0.101,-0.072,-0.072
,0.103,-0.071,-0.071
,0.105,-0.07,-0.07
,0.107,-0.07,-0.07
,0.109,-0.069,-0.069
,0.111,-0.068,-0.068
,0.113,-0.067,-0.067
,0.114,-0.066,-0.066
,0.116,-0.065,-0.065
,0.118,-0.065,-0.065
,0.119,-0.064,-0.064
,0.12,-0.063,-0.063
,0.121,-0.062,-0.062
,0.122,-0.062,-0.062
,0.123,-0.061,-0.061
,0.123,-0.061,-0.061
,0.124,-0.06,-0.06
,0.124,-0.06,-0.06
,0.124,-0.06,-0.06
,0.124,-0.06,-0.06
,0.124,-0.059,-0.059
,0.123,-0.06,-0.06
,0.123,-0.06,-0.06
,0.122,-0.06,-0.06
,0.121,-0.06,-0.06
,0.121,-0.06,-0.06
,0.12,-0.061,-0.061
,0.119,-0.061,-0.061
,0.118,-0.062,-0.062
,0.117,-0.062,-0.062
,0.116,-0.063,-0.063
,0.115,-0.063,-0.063
,0.113,-0.064,-0.064
,0.112,-0.064,-0.064
,0.111,-0.065,-0.065
,0.11,-0.065,-0.065
,0.109,-0.066,-0.066
,0.109,-0.066,-0.066
,0.108,-0.066,-0.066
,0.107,-0.066,-0.066
,0.106,-0.067,-0.067
,0.105,-0.067,-0.067
,0.105,-0.067,-0.067
,0.104,-0.067,-0.067
,0.103,-0.067,-0.067
,0.103,-0.066,-0.066
,0.102,-0.066,-0.066
,0.101,-0.066,-0.066
,0.101,-0.065,-0.065
,0.1,-0.065,-0.065
,0.099,-0.065,-0.065
,0.098,-0.064,-0.064
,0.097,-0.064,-0.064
,0.096,-0.063,-0.063
,0.095,-0.063,-0.063
,0.094,-0.062,-0.062
,0.093,-0.062,-0.062
,0.092,-0.062,-0.062
,0.091,-0.061,-0.061
,0.089,-0.061,-0.061
,0.088,-0.06,-0.06
,0.087,-0.06,-0.06
,0.085,-0.06,-0.06
,0.084,-0.059,-0.059
,0.082,-0.059,-0.059
,0.081,-0.059,-0.059
,0.079,-0.058,-0.058
,0.078,-0.058,-0.058
,0.076,-0.058,-0.058
,0.075,-0.058,-0.058
,0.073,-0.057,-0.057
,0.072,-0.057,-0.057
,0.071,-0.057,-0.057
,0.069,-0.056,-0.056
,0.068,-0.056,-0.056
,0.067,-0.055,-0.055
,0.066,-0.055,-0.055
,0.066,-0.054,-0.054
,0.065,-0.054,-0.054
,0.064,-0.053,-0.053
,0.064,-0.052,-0.052
,0.063,-0.051,-0.051
,0.063,-0.05,-0.05
,0.063,-0.049,-0.049
,0.062,-0.048,-0.048
,0.062,-0.047,-0.047
,0.062,-0.046,-0.046
,0.062,-0.045,-0.045
,0.062,-0.044,-0.044
,0.062,-0.043,-0.043
,0.062,-0.042,-0.042
,0.062,-0.041,-0.041
,0.062,-0.039,-0.039
,0.062,-0.038,-0.038
,0.062,-0.037,-0.037
,0.062,-0.036,-0.036
,0.062,-0.035,-0.035
,0.062,-0.033,-0.033
,0.062,-0.032,-0.032
,0.062,-0.031,-0.031
,0.062,-0.03,-0.03
,0.062,-0.029,-0.029
,0.062,-0.027,-0.027
,0.062,-0.026,-0.026
,0.062,-0.025,-0.025
,0.061,-0.024,-0.024
,0.061,-0.022,-0.022
,0.061,-0.021,-0.021
,0.062,-0.02,-0.02
,0.062,-0.018,-0.018
,0.062,-0.017,-0.017
,0.062,-0.015,-0.015
,0.062,-0.014,-0.014
,0.063,-0.012,-0.012
,0.063,-0.01,-0.01
,0.064,-0.009,-0.009
,0.064,-0.007,-0.007
,0.065,-0.005,-0.005
,0.066,-0.004,-0.004
,0.067,-0.002,-0.002
,0.068,0,0
,0.069,0.002,0.002
,0.07,0.003,0.003
,0.072,0.005,0.005
,0.073,0.007,0.007
,0.074,0.009,0.009
,0.076,0.011,0.011
,0.077,0.012,0.012
,0.079,0.014,0.014
,0.08,0.015,0.015
,0.082,0.017,0.017
,0.083,0.018,0.018
,0.085,0.02,0.02
,0.086,0.021,0.021
,0.087,0.022,0.022
,0.089,0.023,0.023
,0.09,0.024,0.024
,0.091,0.025,0.025
,0.092,0.026,0.026
,0.093,0.026,0.026
,0.094,0.027,0.027
,0.095,0.027,0.027
,0.096,0.028,0.028
,0.097,0.028,0.028
,0.098,0.028,0.028
,0.098,0.028,0.028
,0.099,0.029,0.029
,0.1,0.029,0.029
,0.1,0.028,0.028
,0.101,0.028,0.028
,0.101,0.028,0.028
,0.102,0.028,0.028
,0.102,0.028,0.028
,0.103,0.028,0.028
,0.103,0.028,0.028
,0.104,0.027,0.027
,0.104,0.027,0.027
,0.105,0.027,0.027
,0.105,0.027,0.027
,0.106,0.026,0.026
,0.107,0.026,0.026
,0.107,0.026,0.026
,0.108,0.026,0.026
,0.109,0.026,0.026
,0.11,0.025,0.025
,0.11,0.025,0.025
,0.111,0.025,0.025
,0.112,0.025,0.025
,0.113,0.024,0.024
,0.113,0.024,0.024
,0.114,0.024,0.024
,0.115,0.023,0.023
,0.115,0.023,0.023
,0.116,0.023,0.023
,0.116,0.022,0.022
,0.116,0.022,0.022
,0.117,0.021,0.021
,0.117,0.02,0.02
,0.117,0.019,0.019
,0.117,0.019,0.019
,0.117,0.018,0.018
,0.116,0.017,0.017
,0.116,0.015,0.015
,0.116,0.014,0.014
,0.115,0.013,0.013
,0.115,0.012,0.012
,0.114,0.01,0.01
,0.113,0.009,0.009
,0.112,0.007,0.007
,0.111,0.006,0.006
,0.111,0.004,0.004
,0.11,0.002,0.002
,0.109,0.001,0.001
,0.108,-0.001,-0.001
,0.107,-0.003,-0.003
,0.106,-0.004,-0.004
,0.105,-0.006,-0.006
,0.104,-0.007,-0.007
,0.103,-0.009,-0.009
,0.102,-0.01,-0.01
,0.101,-0.012,-0.012
,0.1,-0.013,-0.013
,0.099,-0.015,-0.015
,0.098,-0.016,-0.016
,0.098,-0.017,-0.017
,0.097,-0.018,-0.018
,0.096,-0.02,-0.02
,0.095,-0.021,-0.021
,0.094,-0.022,-0.022
,0.094,-0.023,-0.023
,0.093,-0.023,-0.023
,0.092,-0.024,-0.024
,0.091,-0.025,-0.025
,0.09,-0.026,-0.026
,0.089,-0.027,-0.027
,0.087,-0.027,-0.027
,0.086,-0.028,-0.028
,0.085,-0.029,-0.029
,0.084,-0.03,-0.03
,0.082,-0.03,-0.03
,0.08,-0.031,-0.031
,0.079,-0.032,-0.032
,0.077,-0.033,-0.033
,0.075,-0.034,-0.034
,0.073,-0.035,-0.035
,0.071,-0.036,-0.036
,0.069,-0.037,-0.037
,0.067,-0.038,-0.038
,0.065,-0.039,-0.039
,0.063,-0.04,-0.04
,0.06,-0.041,-0.041
,0.058,-0.042,-0.042
,0.056,-0.044,-0.044
,0.054,-0.045,-0.045
,0.051,-0.046,-0.046
,0.049,-0.048,-0.048
,0.047,-0.049,-0.049
,0.045,-0.05,-0.05
,0.043,-0.051,-0.051
,0.04,-0.052,-0.052
,0.038,-0.053,-0.053
,0.036,-0.055,-0.055
,0.035,-0.055,-0.055
,0.033,-0.056,-0.056
,0.031,-0.057,-0.057
,0.029,-0.058,-0.058
,0.028,-0.059,-0.059
,0.026,-0.059,-0.059
,0.025,-0.06,-0.06
,0.023,-0.06,-0.06
,0.022,-0.061,-0.061
,0.02,-0.061,-0.061
,0.019,-0.061,-0.061
,0.018,-0.062,-0.062
,0.016,-0.062,-0.062
,0.015,-0.062,-0.062
,0.014,-0.062,-0.062
,0.012,-0.062,-0.062
,0.011,-0.062,-0.062
,0.01,-0.062,-0.062
,0.008,-0.062,-0.062
,0.007,-0.062,-0.062
,0.005,-0.062,-0.062
,0.004,-0.062,-0.062
,0.002,-0.062,-0.062
,0.001,-0.062,-0.062
,-0.001,-0.063,-0.063
,-0.002,-0.063,-0.063
,-0.004,-0.063,-0.063
,-0.005,-0.063,-0.063
,-0.007,-0.063,-0.063
,-0.008,-0.063,-0.063
,-0.01,-0.063,-0.063
,-0.011,-0.063,-0.063
,-0.012,-0.063,-0.063
,-0.014,-0.063,-0.063
,-0.015,-0.063,-0.063
,-0.016,-0.063,-0.063
,-0.017,-0.063,-0.063
,-0.019,-0.063,-0.063
,-0.02,-0.062,-0.062
,-0.021,-0.062,-0.062
,-0.022,-0.062,-0.062
,-0.023,-0.061,-0.061
,-0.023,-0.061,-0.061
,-0.024,-0.06,-0.06
,-0.025,-0.06,-0.06
,-0.026,-0.059,-0.059
,-0.026,-0.058,-0.058
,-0.027,-0.058,-0.058
,-0.028,-0.057,-0.057
,-0.028,-0.056,-0.056
,-0.029,-0.055,-0.055
,-0.029,-0.055,-0.055
,-0.029,-0.054,-0.054
,-0.03,-0.053,-0.053
,-0.03,-0.052,-0.052
,-0.031,-0.051,-0.051
,-0.031,-0.05,-0.05
,-0.031,-0.049,-0.049
,-0.032,-0.049,-0.049
,-0.032,-0.048,-0.048
,-0.032,-0.047,-0.047
,-0.032,-0.046,-0.046
,-0.033,-0.045,-0.045
,-0.033,-0.045,-0.045
,-0.033,-0.044,-0.044
,-0.033,-0.043,-0.043
,-0.034,-0.042,-0.042
,-0.034,-0.041,-0.041
,-0.034,-0.04,-0.04
,-0.034,-0.039,-0.039
,-0.034,-0.038,-0.038
,-0.034,-0.038,-0.038
,-0.034,-0.037,-0.037
,-0.034,-0.036,-0.036
,-0.034,-0.035,-0.035
,-0.034,-0.033,-0.033
,-0.034,-0.032,-0.032
,-0.034,-0.031,-0.031
,-0.034,-0.03,-0.03
,-0.033,-0.029,-0.029
,-0.033,-0.027,-0.027
,-0.033,-0.026,-0.026
,-0.032,-0.025,-0.025
,-0.032,-0.023,-0.023
,-0.032,-0.022,-0.022
,-0.031,-0.02,-0.02
,-0.031,-0.019,-0.019
,-0.03,-0.017,-0.017
,-0.029,-0.016,-0.016
,-0.029,-0.014,-0.014
,-0.028,-0.012,-0.012
,-0.027,-0.011,-0.011
,-0.027,-0.009,-0.009
,-0.026,-0.008,-0.008
,-0.025,-0.006,-0.006
,-0.024,-0.004,-0.004
,-0.023,-0.003,-0.003
,-0.022,-0.001,-0.001
,-0.022,0,0
,-0.021,0.002,0.002
,-0.019,0.003,0.003
,-0.018,0.005,0.005
,-0.017,0.006,0.006
,-0.016,0.007,0.007
,-0.015,0.009,0.009
,-0.014,0.01,0.01
,-0.013,0.012,0.012
,-0.011,0.013,0.013
,-0.01,0.014,0.014
,-0.009,0.016,0.016
,-0.007,0.017,0.017
,-0.006,0.018,0.018
,-0.005,0.02,0.02
,-0.003,0.021,0.021
,-0.002,0.023,0.023
,0,0.024,0.024
,0.001,0.026,0.026
,0.003,0.027,0.027
,0.004,0.029,0.029
